,Alpha,Alpha,Alpha,Beta,Beta,Beta
label_type,da,ap,ap type,da,ap,ap type
min,0.0381091269295325,-0.018428709990300884,0.02163984987130152,0.5433362866921405,0.4901960784313726,0.5252760237805103
max,0.8511931509117139,0.611764705882353,0.7312581063553827,0.9191062084570782,0.7894736842105263,0.8540896447308194
mean,0.407900251535089,0.161727942954797,0.2852486984280599,0.7030925714475604,0.5877497868308901,0.6449509894946243
std,0.23917145742525853,0.15833384262176145,0.18432794055736373,0.11405135960266541,0.0769030852086437,0.08723707521156043
