,Alpha task-oriented,Alpha task-oriented,Alpha task-oriented,Alpha non-task-oriented,Alpha non-task-oriented,Alpha non-task-oriented,Beta task-oriented,Beta task-oriented,Beta task-oriented,Beta non-task-oriented,Beta non-task-oriented,Beta non-task-oriented
label_type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type
min,0.18356091268958766,0.01098901098901095,0.09657402552001383,0.0381091269295325,-0.018428709990300884,0.02163984987130152,0.5851526410471981,0.5260416666666667,0.5686014289529917,0.5433362866921405,0.4901960784313726,0.5252760237805103
max,0.8511931509117139,0.611764705882353,0.7312581063553827,0.4994567745148834,0.29032258064516137,0.3428419162504356,0.9191062084570782,0.7894736842105263,0.8540896447308194,0.7431474872085024,0.6799999999999999,0.6728375617544755
mean,0.5562337500395478,0.2255246071005128,0.39372999347167603,0.25956675303063026,0.09793127880908123,0.17676740338444377,0.7717955803834828,0.6202726975938109,0.6956423386389188,0.6343895625116381,0.5552268760679694,0.59425964035033
std,0.22129320662085467,0.18660400613148947,0.1856355243720192,0.15131426078463872,0.09517978637339618,0.10543573348811353,0.11251105241177564,0.08224423290456727,0.08823024937178175,0.06567245232285342,0.05805723868461952,0.05070874222091534
