,label_type,t-statistic,p-value
0,da,-4.982168420276272,1.4036656036869818e-05
1,ap,-10.823813350405398,3.61475836515065e-13
2,ap type,-7.888217909541594,1.5985215891509572e-09
3,all,-11.538339616139583,4.4301926430661494e-21
