,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta
,label_type,t-statistic,p-value,cohen-d,n,exp_n,power,exp_power,label_type,t-statistic,p-value,cohen-d,n,exp_n,power,exp_power
0,da,3.4994953252454724,0.002559593929816724,1.5650218868383226,10,7.502652211618994,0.9110977551194543,0.8,da,3.3353718473533256,0.003682095155363276,1.4916236361842174,10,8.137597441963345,0.8835503131335696,0.8
1,ap,1.9261647700074112,0.07002616537688909,0.8614070723203638,10,22.157947642721318,0.44570546157766966,0.8,ap,2.0432087378383956,0.05595315591979879,0.9137507260056398,10,19.808830257567475,0.4896215558286595,0.8
2,ap type,3.21374073097363,0.004814788559406734,1.4372285473033801,10,8.673589461842194,0.8595505924481546,0.8,ap type,3.1504225044210004,0.0055332059641289965,1.4089117755460976,10,8.977964026213948,0.8458090230570637,0.8
3,all,4.320276709162679,6.181164055114485e-05,1.1154906497063224,30,13.64594750646933,0.9889240196306567,0.8,all,4.297046454067005,6.692293784229955e-05,1.1094926236320763,30,13.781988413182775,0.9882412447308945,0.8
