,Group 1,Group 2,DA,DA,DA,DA,DA,AP,AP,AP,AP,AP
,,,dof,critical,stat,p-value,reject,dof,critical,stat,p-value,reject
0,kvret,babl,19,30.14352720564616,89.52600732600732,4.0244189504892385e-11,True,10,18.307038053275146,20.980850279988218,0.021227494338094764,True
1,kvret,scose,21,32.670573340917315,182.62837955411837,9.133516315103238e-28,True,10,18.307038053275146,31.57747359434056,0.00047077543789345434,True
2,kvret,cabnc,19,30.14352720564616,63.51802955665024,1.0608602735775999e-06,True,10,18.307038053275146,16.80435981813753,0.07880665249666462,False
3,babl,scose,20,31.410432844230918,187.42422544873253,3.396758078437901e-29,True,10,18.307038053275146,36.10402910271509,8.078027282038508e-05,True
4,babl,cabnc,19,30.14352720564616,53.00977804830638,4.6650427794217363e-05,True,10,18.307038053275146,9.150334709808146,0.5178982690645733,False
5,scose,cabnc,20,31.410432844230918,81.20279752435874,2.4510894898514264e-09,True,10,18.307038053275146,23.22396539935866,0.009949400097236999,True
