,group,user,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
,,,propQuestion,setQuestion,choiceQuestion,checkQuestion,inform,answer,correction,agreement,disagreement,confirm,disconfirm,offer,request,suggest,conditionalAccept,accept,decline,feedbackPos,feedbackNeg,stalling,retraction,greeting,goodbye,thanking,acceptThanking,apology,acceptApology,FPP-base,SPP-base,FPP-pre,SPP-pre,Pre,FPP-insert,SPP-insert,Insert,FPP-post,SPP-post,Post
17,set 1,usr6-1-%,4.167,10.417,0.0,2.083,4.167,20.833,6.25,10.417,2.083,12.5,0.0,2.083,0.0,4.167,2.083,0.0,0.0,0.0,0.0,4.167,0.0,6.25,0.0,4.167,4.167,0.0,0.0,10.417,16.667,8.333,8.333,0.0,14.583,22.917,4.167,0.0,8.333,6.25
18,set 2,usr12-2-%,6.522,10.87,10.87,0.0,6.522,10.87,0.0,2.174,2.174,2.174,0.0,2.174,2.174,0.0,0.0,6.522,0.0,10.87,8.696,6.522,0.0,2.174,0.0,4.348,4.348,0.0,0.0,8.696,19.565,8.696,4.348,2.174,6.522,15.217,6.522,8.696,8.696,10.87
19,set 2,usr2-2-%,2.174,13.043,2.174,0.0,8.696,8.696,4.348,6.522,2.174,2.174,0.0,6.522,6.522,17.391,0.0,4.348,0.0,2.174,0.0,2.174,0.0,2.174,0.0,4.348,4.348,0.0,0.0,21.739,6.522,8.696,10.87,0.0,13.043,13.043,0.0,6.522,15.217,4.348
20,set 2,usr7-2-%,2.174,4.348,2.174,10.87,4.348,13.043,8.696,8.696,0.0,4.348,0.0,2.174,0.0,6.522,0.0,6.522,0.0,2.174,4.348,6.522,0.0,2.174,0.0,4.348,6.522,0.0,0.0,2.174,6.522,15.217,13.043,0.0,19.565,21.739,0.0,10.87,6.522,4.348
21,set 3,usr13-3-%,14.583,4.167,0.0,2.083,27.083,10.417,2.083,4.167,0.0,2.083,0.0,2.083,2.083,0.0,2.083,0.0,0.0,8.333,0.0,2.083,6.25,2.083,0.0,4.167,4.167,0.0,0.0,4.167,8.333,4.167,0.0,16.667,6.25,8.333,16.667,12.5,10.417,12.5
22,set 3,usr3-3-%,8.333,8.333,4.167,2.083,25.0,16.667,0.0,6.25,2.083,6.25,0.0,0.0,2.083,2.083,0.0,0.0,0.0,4.167,0.0,0.0,2.083,2.083,0.0,4.167,4.167,0.0,0.0,20.833,14.583,6.25,2.083,8.333,6.25,12.5,2.083,8.333,14.583,4.167
23,set 3,usr8-3-%,8.333,6.25,6.25,2.083,22.917,25.0,0.0,6.25,0.0,2.083,0.0,0.0,4.167,0.0,0.0,2.083,0.0,0.0,0.0,2.083,0.0,4.167,0.0,4.167,4.167,0.0,0.0,25.0,31.25,4.167,16.667,2.083,0.0,4.167,8.333,2.083,2.083,4.167
24,set 4,usr14-4-%,6.522,13.043,0.0,2.174,23.913,17.391,2.174,4.348,2.174,0.0,0.0,0.0,2.174,2.174,2.174,0.0,0.0,4.348,0.0,4.348,2.174,2.174,0.0,4.348,4.348,0.0,0.0,6.522,8.696,0.0,10.87,4.348,17.391,17.391,19.565,4.348,2.174,8.696
25,set 4,usr4-4-%,6.522,6.522,4.348,2.174,39.13,13.043,0.0,2.174,0.0,4.348,0.0,4.348,0.0,0.0,0.0,0.0,0.0,6.522,0.0,0.0,0.0,2.174,0.0,4.348,4.348,0.0,0.0,13.043,13.043,2.174,2.174,4.348,15.217,17.391,23.913,4.348,4.348,0.0
26,set 4,usr9-4-%,10.87,6.522,0.0,2.174,21.739,13.043,0.0,19.565,0.0,2.174,0.0,0.0,2.174,6.522,0.0,0.0,0.0,2.174,0.0,2.174,0.0,2.174,0.0,4.348,4.348,0.0,0.0,8.696,6.522,6.522,6.522,0.0,6.522,8.696,19.565,13.043,15.217,8.696
27,set 5,usr10-5-%,8.696,4.348,0.0,6.522,34.783,4.348,0.0,17.391,2.174,0.0,0.0,2.174,4.348,0.0,0.0,2.174,0.0,0.0,2.174,0.0,0.0,2.174,0.0,4.348,4.348,0.0,0.0,19.565,17.391,4.348,0.0,2.174,10.87,13.043,13.043,13.043,4.348,2.174
28,set 5,usr15-5-%,10.87,2.174,0.0,8.696,15.217,6.522,0.0,2.174,4.348,6.522,0.0,2.174,0.0,2.174,0.0,4.348,2.174,17.391,2.174,2.174,0.0,2.174,0.0,4.348,4.348,0.0,0.0,17.391,19.565,2.174,2.174,0.0,10.87,8.696,2.174,2.174,6.522,28.261
29,set 5,usr5-5-%,8.696,8.696,0.0,2.174,23.913,6.522,0.0,8.696,0.0,13.043,0.0,0.0,2.174,0.0,0.0,2.174,2.174,4.348,2.174,2.174,2.174,2.174,0.0,4.348,4.348,0.0,0.0,17.391,17.391,2.174,4.348,0.0,10.87,4.348,0.0,21.739,21.739,0.0
