,Group 1,Group 2,DA,DA,DA,DA,DA,AP,AP,AP,AP,AP
,,,dof,critical,stat,p-value,reject,dof,critical,stat,p-value,reject
0,task-oriented,non-task-oriented,22,33.92443847144381,210.20306051939627,1.1330918016374126e-32,True,10,18.307038053275146,33.10743491844431,0.00026128971397883634,True
