,task-oriented,task-oriented,task-oriented,task-oriented,non-task-oriented,non-task-oriented,non-task-oriented,non-task-oriented
,da,ap,ap type,all,da,ap,ap type,all
min,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
max,7.0,7.0,6.0,7.0,7.0,5.0,5.0,7.0
mean,4.8,4.7,4.7,4.733333333333333,4.066666666666666,3.966666666666667,3.7333333333333334,3.922222222222222
std,1.0305673027596216,1.1788363637137231,0.9523111632886266,1.047200655788157,1.0148325268098497,0.99942512211403,0.8276819867946672,0.9507865198046286
