,label_type,t-statistic,p-value,cohen-d,n,exp_n,power,exp_power
0,da,2.77706462151818,0.007375301825026698,0.7170350020321142,30,31.521815333970512,0.7796039883786741,0.8
1,ap,2.5989558871902996,0.011837683097176288,0.6710475245743834,30,35.8463626029176,0.7243326137383318,0.8
2,ap type,4.196353927112018,9.423140942473131e-05,1.0834939249664624,30,14.39819725169813,0.9848428172038456,0.8
3,all,5.4402498336684975,1.7396831696172504e-07,0.8109845628443124,90,24.865627723773756,0.9997204544781968,0.8
