,group1,group2,meandiff,p-value,lower,upper,reject,eta_sq,omega_sq
0,babl,cabnc,3.1249,0.9,-13.2641,19.514,False,,
1,babl,kvret,-8.9428,0.4781,-25.3318,7.4463,False,,
2,babl,scose,-8.0012,0.5636,-24.3902,8.3879,False,,
3,cabnc,kvret,-12.0677,0.2196,-28.4567,4.3214,False,,
4,cabnc,scose,-11.1261,0.2855,-27.5151,5.2629,False,,
5,kvret,scose,0.9416,0.9,-15.4475,17.3306,False,,
6,,,,0.14950328971945248,,,,0.0899505865967982,0.040539142611739486
