,usr1-1,usr11-1,usr6-1,usr12-2,usr2-2,usr7-2,usr13-3,usr3-3,usr8-3,usr14-4,usr4-4,usr9-4,usr10-5,usr15-5,usr5-5,min,max,mean,std
Practice,91.93833333333333,50.73833333333334,117.87416666666667,56.65716666666666,106.9045,104.6815,47.8095,74.83416666666668,65.1355,37.748666666666665,66.3685,95.6675,55.5725,80.09433333333332,116.40583333333333,37.748666666666665,117.87416666666667,77.88549019607842,27.522379468523084
Dialogue 1,43.75085714285714,49.941222222222216,37.570142857142855,34.787,48.5905,21.02416666666667,24.16075,47.32420689655172,22.1965,36.1596,69.45725,45.05176,31.7558,34.52611538461538,89.0638,21.02416666666667,89.0638,43.84986104921899,20.479409255724843
Dialogue 2,19.34011111111111,29.598,44.63771428571428,23.952,32.28778947368421,15.704375,23.12858620689655,35.3234,50.065,27.746959999999998,22.01444,10.545166666666667,57.527800000000006,42.27975,95.7642,10.545166666666667,95.7642,37.42497996533762,24.851839487205666
Dialogue 3,14.060263157894736,21.981263157894738,19.860333333333333,11.524833333333333,21.490714285714287,9.899684210526315,20.6935,15.525,14.429724137931034,35.74675,32.779,28.421,24.66,46.1674,28.27296153846154,9.899684210526315,46.1674,23.62232419797739,11.081467739495851
Dialogue 4,13.837,17.839,15.261894736842105,17.27363157894737,21.243,16.10257142857143,10.712200000000001,25.079,22.2445,30.094,17.915666666666667,16.948,30.20484615384615,21.4292,19.67,10.712200000000001,30.20484615384615,19.81009157168941,6.029314921545005
