,Alpha DA,Alpha DA,Alpha DA,Alpha DA,Alpha DA,Alpha DA,Alpha DA,Alpha DA,Alpha DA,Alpha AP,Alpha AP,Alpha AP,Alpha AP,Alpha AP,Alpha AP,Alpha AP,Alpha AP,Alpha AP,Alpha AP type,Alpha AP type,Alpha AP type,Alpha AP type,Alpha AP type,Alpha AP type,Alpha AP type,Alpha AP type,Alpha AP type,Alpha All,Alpha All,Alpha All,Alpha All,Alpha All,Alpha All,Alpha All,Alpha All,Alpha All,Beta DA,Beta DA,Beta DA,Beta DA,Beta DA,Beta DA,Beta DA,Beta DA,Beta DA,Beta AP,Beta AP,Beta AP,Beta AP,Beta AP,Beta AP,Beta AP,Beta AP,Beta AP,Beta AP type,Beta AP type,Beta AP type,Beta AP type,Beta AP type,Beta AP type,Beta AP type,Beta AP type,Beta AP type,Beta All,Beta All,Beta All,Beta All,Beta All,Beta All,Beta All,Beta All,Beta All
,group1,group2,meandiff,p-value,lower,upper,reject,eta_sq,omega_sq,group1,group2,meandiff,p-value,lower,upper,reject,eta_sq,omega_sq,group1,group2,meandiff,p-value,lower,upper,reject,eta_sq,omega_sq,group1,group2,meandiff,p-value,lower,upper,reject,eta_sq,omega_sq,group1,group2,meandiff,p-value,lower,upper,reject,eta_sq,omega_sq,group1,group2,meandiff,p-value,lower,upper,reject,eta_sq,omega_sq,group1,group2,meandiff,p-value,lower,upper,reject,eta_sq,omega_sq,group1,group2,meandiff,p-value,lower,upper,reject,eta_sq,omega_sq
0,babl,cabnc,-0.1897,0.3243,-0.4968,0.1175,False,,,babl,cabnc,-0.1914,0.3255,-0.5017,0.119,False,,,babl,cabnc,-0.192,0.1727,-0.4445,0.0606,False,,,babl,cabnc,-0.191,0.0299,-0.3682,-0.0138,True,,,babl,cabnc,-0.082,0.3922,-0.226,0.062,False,,,babl,cabnc,-0.1047,0.3313,-0.2758,0.0663,False,,,babl,cabnc,-0.0904,0.2154,-0.2173,0.0365,False,,,babl,cabnc,-0.0924,0.0379,-0.181,-0.0038,True,,
1,babl,kvret,0.2673,0.0999,-0.0399,0.5745,False,,,babl,kvret,0.113,0.7089,-0.1973,0.4234,False,,,babl,kvret,0.1896,0.1805,-0.063,0.4421,False,,,babl,kvret,0.19,0.0311,0.0128,0.3672,True,,,babl,kvret,0.1403,0.0575,-0.0037,0.2843,False,,,babl,kvret,0.047,0.8471,-0.1241,0.218,False,,,babl,kvret,0.0935,0.1927,-0.0334,0.2204,False,,,babl,kvret,0.0936,0.0346,0.005,0.1822,True,,
2,babl,scose,-0.1364,0.586,-0.4436,0.1708,False,,,babl,scose,-0.2145,0.2372,-0.5249,0.0959,False,,,babl,scose,-0.1783,0.2219,-0.4309,0.0743,False,,,babl,scose,-0.1764,0.0515,-0.3536,0.0008,False,,,babl,scose,-0.0525,0.7086,-0.1965,0.0915,False,,,babl,scose,-0.0872,0.4838,-0.2583,0.0838,False,,,babl,scose,-0.071,0.4071,-0.1979,0.0559,False,,,babl,scose,-0.0702,0.1661,-0.1588,0.0184,False,,
3,cabnc,kvret,0.457,0.003,0.1498,0.7642,True,,,cabnc,kvret,0.3044,0.0556,-0.006,0.6148,False,,,cabnc,kvret,0.3815,0.0027,0.129,0.6341,True,,,cabnc,kvret,0.381,0.001,0.2038,0.5582,True,,,cabnc,kvret,0.2223,0.0022,0.0783,0.3663,True,,,cabnc,kvret,0.1517,0.0916,-0.0194,0.3228,False,,,cabnc,kvret,0.1839,0.0038,0.057,0.3108,True,,,cabnc,kvret,0.186,0.001,0.0974,0.2746,True,,
4,cabnc,scose,0.0533,0.9,-0.2539,0.3605,False,,,cabnc,scose,-0.0231,0.9,-0.3335,0.2872,False,,,cabnc,scose,0.0137,0.9,-0.2389,0.2663,False,,,cabnc,scose,0.0146,0.9,-0.1626,0.1918,False,,,cabnc,scose,0.0295,0.9,-0.1145,0.1735,False,,,cabnc,scose,0.0175,0.9,-0.1536,0.1885,False,,,cabnc,scose,0.0194,0.9,-0.1075,0.1463,False,,,cabnc,scose,0.0221,0.9,-0.0665,0.1107,False,,
5,kvret,scose,-0.4037,0.0084,-0.7109,-0.0965,True,,,kvret,scose,-0.3275,0.0368,-0.6379,-0.0172,True,,,kvret,scose,-0.3679,0.0036,-0.6204,-0.1153,True,,,kvret,scose,-0.3664,0.001,-0.5435,-0.1892,True,,,kvret,scose,-0.1928,0.0072,-0.3368,-0.0488,True,,,kvret,scose,-0.1342,0.1534,-0.3053,0.0368,False,,,kvret,scose,-0.1645,0.0093,-0.2914,-0.0376,True,,,kvret,scose,-0.1638,0.001,-0.2524,-0.0752,True,,
6,,,,0.0027621527117691557,,,,0.5757806545120912,0.48342221135222335,,,,0.022847210020441183,,,,0.4400070645937255,0.3236797411803535,,,,0.001521794739716687,,,,0.6073302984629688,0.5209203763799215,,,,5.078566947840059e-07,,,,0.4331958120371625,0.3987948980683789,,,,0.00212432343254191,,,,0.5899951248669408,0.5002988990522959,,,,0.06745065604821146,,,,0.3519366224397064,0.22145493699428162,,,,0.003104206814244978,,,,0.569292655483073,0.4757287857596004,,,,2.2408092136459457e-06,,,,0.40159001716882653,0.3656253067751925
