,Alpha,Alpha,Alpha,Beta,Beta,Beta
label_type,da,ap,ap type,da,ap,ap type
min,0.0381091269295325,-0.1282051282051282,-0.04793884214158672,0.5433362866921405,0.3725490196078432,0.4698866363871349
max,0.8511931509117139,0.6363636363636364,0.6722048430077627,0.9191062084570782,0.8039215686274511,0.823539501217797
mean,0.4079002515350889,0.16369044392460283,0.2832352414371541,0.7030925714475605,0.5867871581690396,0.643651573390593
std,0.23917145742525858,0.21032783062532764,0.2043939927056848,0.11405135960266542,0.10775739665283293,0.09805177046368863
