,Alpha task-oriented,Alpha task-oriented,Alpha task-oriented,Alpha non-task-oriented,Alpha non-task-oriented,Alpha non-task-oriented,Beta task-oriented,Beta task-oriented,Beta task-oriented,Beta non-task-oriented,Beta non-task-oriented,Beta non-task-oriented
label_type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type
min,0.18356091268958766,0.038461538461538436,0.1542019560395239,0.0381091269295325,-0.1282051282051282,-0.04793884214158672,0.5851526410471981,0.5333333333333334,0.5842873001006004,0.5433362866921405,0.3725490196078432,0.4698866363871349
max,0.8511931509117139,0.6363636363636364,0.6722048430077627,0.4994567745148834,0.326530612244898,0.3239444062780753,0.9191062084570782,0.8039215686274511,0.823539501217797,0.7431474872085024,0.7142857142857143,0.6799769767609181
mean,0.5562337500395478,0.29341093565524334,0.4231936937100856,0.2595667530306302,0.03396995219396235,0.14327678916422268,0.771795580383483,0.6465214320709678,0.7073713567171351,0.6343895625116381,0.5270528842671114,0.5799317900640507
std,0.22129320662085467,0.1947045838929854,0.1761061066676732,0.15131426078463872,0.1344871476628178,0.11684441998075784,0.11251105241177563,0.09110967420107333,0.08524163269294194,0.0656724523228534,0.09101223969303389,0.06330648982806492
