,Alpha kvret,Alpha kvret,Alpha kvret,Alpha babl,Alpha babl,Alpha babl,Alpha scose,Alpha scose,Alpha scose,Alpha cabnc,Alpha cabnc,Alpha cabnc,Beta kvret,Beta kvret,Beta kvret,Beta babl,Beta babl,Beta babl,Beta scose,Beta scose,Beta scose,Beta cabnc,Beta cabnc,Beta cabnc
label_type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type,da,ap,ap type
min,0.3709739368998627,0.13615023474178412,0.2528099459070621,0.18356091268958766,0.038461538461538436,0.1542019560395239,0.056845594344014816,-0.10795902285263992,0.016876546304671725,0.0381091269295325,-0.1282051282051282,-0.04793884214158672,0.6812999315423134,0.5555555555555556,0.6185037756427623,0.5851526410471981,0.5333333333333334,0.5842873001006004,0.5433362866921405,0.4641849971799215,0.5202969589358528,0.5564627274471834,0.3725490196078432,0.4698866363871349
max,0.8511931509117139,0.5,0.6722048430077627,0.6049030029231997,0.6363636363636364,0.5450894162207507,0.4994567745148834,0.16838487972508598,0.3239444062780753,0.4152116785967631,0.326530612244898,0.30457326086462144,0.9191062084570782,0.7333333333333334,0.823539501217797,0.7945099316826599,0.8039215686274511,0.7564959804930088,0.7431474872085024,0.6015325670498085,0.6656857239475451,0.6938809094981673,0.7142857142857143,0.6799769767609181
mean,0.6898880574522935,0.3499337594223747,0.5179776570074448,0.42257944262680214,0.23688811188811193,0.3284097304127265,0.2862122173828662,0.022404919891901232,0.15011674987399842,0.23292128867839423,0.045534984496023466,0.1364368284544469,0.8419633481259359,0.6700097465886939,0.7541098696091144,0.7016278126410299,0.6230331175532415,0.660632843825156,0.6491477082022492,0.5357941523897892,0.5896422469623946,0.619631416821027,0.5183116161444337,0.5702213331657067
std,0.20550700065400232,0.13936030472807345,0.16527594963969072,0.15261790646729406,0.2406010186484865,0.1414352255893625,0.16834632185521717,0.10990273399677683,0.11352474742620182,0.14628935847920607,0.16817341681801465,0.13309230123105642,0.10190824097243434,0.07097514137877241,0.08314051834135748,0.07607942826624779,0.11072698703731663,0.06304949338339352,0.07946366970132417,0.05662873917109237,0.05526739354001195,0.05333833306126909,0.12344806183282545,0.07567783031143568
