,label_type,t-statistic,p-value,cohen-d,n,exp_n,power,exp_power
0,da,-4.982168420276272,1.4036656036869818e-05,-1.5754999894636041,20,7.41932811121384,0.9980914573063653,0.8
1,ap,-8.006545739495062,1.1170119430420204e-09,-2.531892072712155,20,3.7041245908445575,1.0,0.8
2,ap type,-7.1100998221624,1.7461011882917273e-08,-2.2484109829191326,20,4.313278596565211,1.0,0.8
3,all,-10.561233968034598,9.299844062816315e-19,-1.9282086931274478,60,5.3754076467664715,1.0,0.8
