,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta
,label_type,t-statistic,p-value,cohen-d,n,exp_n,power,exp_power,label_type,t-statistic,p-value,cohen-d,n,exp_n,power,exp_power
0,da,3.4994953252454724,0.002559593929816724,1.5650218868383226,10,7.502652211618994,0.9110977551194543,0.8,da,3.3353718473533256,0.003682095155363276,1.4916236361842174,10,8.137597441963345,0.8835503131335696,0.8
1,ap,3.4670291216493485,0.002750844562020063,1.5505025591958663,10,7.620982742047787,0.9060744766952219,0.8,ap,2.933636596719029,0.008875753965748873,1.3119621703089772,10,10.176075925988258,0.7922468511909104,0.8
2,ap type,4.188328111734013,0.0005523577123313344,1.873077273982118,10,5.618257195796298,0.977031895770035,0.8,ap type,3.795493099499478,0.0013246272384361316,1.697396115722441,10,6.563148513610346,0.9480556935317762,0.8
3,all,5.602277776438529,6.10638024897713e-07,1.446501901931623,30,8.577840506284485,0.9998055723103472,0.8,all,5.14401644442814,3.3274527004874283e-06,1.328179334792485,30,9.956987019799081,0.999023421776379,0.8
